id,name,founded_year,website,facebook,instagram,linkedin,contact_phone,bio,head_office_location,total_residential_projects,total_commercial_projects,is_active,sort,deleted_at,created_at,updated_at,total_projects_count
59,"{""ar"": ""أرابيا فور هاوسينج أند ديفيلوبمنت"", ""en"": ""Arabia For Housing & Development""}",NULL,https://arabia.com.eg/,https://www.facebook.com/ArabiaDevelopment,NULL,NULL,+20 12 29501355,"{""ar"": ""تُعد أرابيا فور هاوسينج أند ديفيلوبمنت مطورًا عقاريًا مصريًا ينفذ مشروعات سكنية وتجارية في منطقة القاهرة. تعمل الشركة لأكثر من ثلاثين عامًا وتركز على المشروعات متعددة الاستخدامات والسكنية. موقعها الرسمي قيد الإطلاق، بينما تَظهَر بيانات الاتصال وقوائم المشروعات على صفحتها الرسمية على فيسبوك وعلى بوابات العقارات."", ""en"": ""Arabia For Housing & Development is an Egyptian real estate developer delivering residential and commercial projects around Cairo. The company has operated for over 30 years, focusing on mixed-use and housing developments. Their official website is currently under construction, while official contact details and project listings appear on their Facebook page and on property portals.""}","2 El-Zohor St. from Abou Bakr El-Sedeek Street, from Al Mahkama Sq. Heliopolis, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
60,"{""ar"": ""أسبكت ديفيلوبمنتس"", ""en"": ""Aspect Developments""}",NULL,https://aspect-dev.com,https://www.facebook.com/p/Aspect-Developments-61574841591958/,NULL,https://www.linkedin.com/company/aspect-developments-eg,17471,"{""ar"": ""أسبكت ديفيلوبمنتس هي شركة تطوير عقاري رائدة تتمتع بخبرة تزيد عن عقد في مجال الإنشاءات، وتقدم مشاريع سكنية وتجارية وصناعية عالية الجودة. تعمل الشركة في مصر والإمارات العربية المتحدة، وتلتزم بإعادة تعريف الحياة العصرية من خلال دمج جوانب الرفاهية الجسدية والنجاح الفكري والتفاعل الاجتماعي والرضا العاطفي في كل مشروع. تهدف الشركة إلى ريادة التطورات المبتكرة التي تمزج بسلاسة بين العمارة الحديثة والجوانب الأساسية للحياة، مقدمة نهجًا جديدًا ومميزًا للسوق."", ""en"": ""Aspect Developments is a forward-thinking real estate developer with over a decade of construction expertise, delivering high-quality residential, commercial, and industrial projects. Operating in both Egypt and the UAE, the company is dedicated to reshaping modern living by integrating physical well-being, intellectual success, social interaction, and emotional fulfillment into every development. They aim to pioneer innovative projects that seamlessly blend modern architecture with lifes core aspects, offering a fresh and distinctive approach to the market.""}","Plot 402, Sector 3, Commercial District Center, New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
61,"{""ar"": ""جولدن فيو ديفلوكمنتس"", ""en"": ""Golden View Developments""}",2021,https://goldenview-egy.com/,https://www.facebook.com/goldenviewdevelopments/,https://www.instagram.com/goldenviewdevelopments/,https://www.linkedin.com/company/goldenviewdevelopment,2.01E+11,"{""ar"": ""تُعد جولدن فيو ديفلوكمنتس شركة تطوير عقاري رائدة، تأسست عام 2021 برؤية طموحة لإعادة تعريف الحياة الحضرية والسيطرة على المشهد العقاري المصري. يتميز مشروعها المعروف جولدن تراس بلمسة ذهبية في جميع مشاريعها المنفذة والمستقبلية، لتقديم إطلالات رائعة ومنافذ حقيقية للملاك والزوار. تركز جولدن فيو ديفلوكمنتس بشكل خاص على مهمتها في غزو المشهد العمراني في القاهرة الجديدة."", ""en"": ""Golden View Developments is a leading real estate developer established in 2021 with a bold vision to redefine urban living and conquer Egypts real estate landscape. The companys well-known Golden Terrace is a signature feature in all its delivered and future projects, offering wonderful views and real outlets for owners and visitors. Golden View Developments is particularly focused on its mission to conquer New Cairos landscape.""}","New Cairo, Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
62,"{""ar"": ""كريد ديفيلوبمنتس"", ""en"": ""Cred Developments""}",2018,https://cred-eg.com,https://www.facebook.com/creddevelopments/,https://instagram.com/cred_developments,https://www.linkedin.com/company/cred-developments/,+20 16533,"{""ar"": ""تعد Cred Developments شركة تطوير عقاري مصرية تركز على المشاريع السكنية والمشروعات متعددة الاستخدام، ويشمل محفظتها Castle Landmark (CLM) وEver West Cairo وEver New Cairo. تأسست الشركة في عام 2018 وتُذكر مكاتبها الرئيسية في القاهرة الجديدة مع عناوين إضافية مُشار إليها في منطقة الشيخ زايد. يوفر الموقع الرسمي وصفحات التواصل الاجتماعي للشركة معلومات اتصال وصفحات المشاريع التي تُستخدم للتحقق وإجراءات العناية الواجبة."", ""en"": ""Cred Developments is an Egyptian real estate developer that focuses on residential and mixed‑use projects, with a portfolio that includes Castle Landmark (CLM), Ever West Cairo, and Ever New Cairo. Founded in 2018, the company lists its headquarters in New Cairo and has secondary addresses referenced for Sheikh Zayed. The corporate website and official social profiles provide contact details, project pages, and corroborating information for due diligence.""}","PrimaryPoint 192 Building, South 90 St, Next to Dusit Hotel, 5th Settlement, New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
63,"{""ar"": ""تيد ترستد إليجانت ديفيلوبمنت"", ""en"": ""TED  Trusted Elegant Development""}",2008,https://tedegypt.com/,https://www.facebook.com/profile.php?id=61578118868580,https://www.instagram.com/tedegypt/,https://www.linkedin.com/company/ted-egypt/,2.01E+11,"{""ar"": ""تيد ترستد إليجانت ديفيلوبمنت هي شركة مصرية متعددة التخصصات تختص في التصميم الداخلي الرفيع، والبناء، والتشطيب، وحلول العقارات. تركز الشركة على التصميم الأنيق والمستدام وتقدّم خدمات متكاملة للتصميم والتنفيذ للمشاريع السكنية والتجارية. تتميز تيد بالدقة في التنفيذ والتركيز على رضا العميل، ويقع مقرها الرئيسي في الجيزة."", ""en"": ""TED  Trusted Elegant Development is an Egypt-based multidisciplinary firm specializing in high-end interior design, construction, fit-out, and real estate solutions. The company emphasizes elegant, sustainable design and delivers integrated design and construction services across residential and commercial projects. TED positions itself on precision execution and client-focused delivery, with headquarters in Giza.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,1
64,"{""ar"": ""ستايل هوم ريال إستيت ديفلوبمنت"", ""en"": ""Style Home Real Estate Development""}",2002,https://stylehome-egypt.com/,https://www.facebook.com/StyleHomeEg/,NULL,https://www.linkedin.com/company/style-home-real-estate-investment,1033883582,"{""ar"": ""تأسست شركة ستايل هوم ريال إستيت ديفلوبمنت عام 2002 في طنطا، وهي مطور عقاري مصري متخصص في المباني السكنية والتجارية. أنجزت الشركة عدداً من المشاريع من بينها ذا أيقون ريزيدنس، ذا أيقون ريزيدنس II، ذا أيقون غاردنز، وذا أيقونيك بلازا، مع تركيز واضح على معايير جودة معمارية عالية. تتخذ الشركة مكتباً في التجمع الخامس بالقاهرة وتقدم خدمات التطوير والبيع عبر مشاريعها الحالية والمكتملة."", ""en"": ""Founded in 2002 in Tanta, Style Home Real Estate Development is an Egyptian property developer focused on residential and commercial buildings. The company has delivered multiple projects including The Icon Residence, The Icon Residence II, The Icon Gardens and The Iconic Plaza, and positions itself on quality architectural standards. Style Home operates a Cairo office in the 5th Settlement and provides sales and development services across its active and completed projects.""}","Building 117, Sector 1, North 90th Bank Complex, behind Citibank, 5th Settlement, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
65,"{""ar"": ""إيجيجاب ديفيلوبمنتس"", ""en"": ""EGYGAB Developments""}",1977,https://egygab.com/,https://www.facebook.com/EgygabDevelopments/,https://www.instagram.com/egygab_/,https://www.linkedin.com/company/egygab-developments,19961,"{""ar"": ""تعد شركة إيجيجاب ديفيلوبمنتس مجموعة مصرية تأسست عام 1977 متخصّصة في تطوير المشروعات السكنية والتجارية والمجتمعية في القاهرة والمناطق الساحلية. تعمل المجموعة عبر قطاعات متعدّدة تشمل الإنشاءات والتعليم والزراعة والتجارة وإدارة المنشآت لتقديم مشروعات تستهدف استدامة وجودة المجتمع. تفركّز إيجيجاب على التخطيط المتكامل وتنفيذ مشاريع حكومية وخاصة واسعة النطاق مع التوسّع في الاستثمارات الصناعية."", ""en"": ""EGYGAB Developments is an Egyptian holding company established in 1977 that develops residential, commercial and community projects across Cairo and coastal areas. The group operates multiple business lines including construction, education, agriculture, trading and facility management, delivering long-term community-focused developments. EGYGAB emphasizes integrated planning and has completed several private and governmental projects while expanding into large-scale real estate and industrial investments.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,8
67,"{""ar"": ""كليك ديفيلوبمنتس"", ""en"": ""Kleek Developments""}",NULL,https://kleekdevelopments.com/,NULL,NULL,https://www.linkedin.com/company/kleek-developments/,2.01E+11,"{""ar"": ""كليك ديفيلوبمنتس هي مطور عقاري مصري سريع التوسع ملتزم بإنشاء مشاريع سكنية حديثة تركز على المجتمع. تهدف الشركة إلى إعادة تعريف معايير العقارات من خلال التصميم المدروس والحلول المبتكرة والاحترام القوي للسياق. من خلال تعزيز العلاقات طويلة الأمد والشراكات الاستراتيجية، تسعى كليك ديفيلوبمنتس جاهدة لتقديم جودة استثنائية ورضا العملاء في جميع أنحاء الشرق الأوسط."", ""en"": ""Kleek Developments is a rapidly expanding Egyptian real estate developer committed to creating modern, community-focused residential projects. The company aims to redefine real estate standards through thoughtful design, innovative solutions, and a strong respect for context. By fostering long-term relationships and strategic partnerships, Kleek Developments strives to deliver exceptional quality and client satisfaction across the Middle East.""}","Delta Flower Towers. BU 2, Nasr City, Cairo, Egypt.",1,0,1,0,NULL,1/10/2026 12:38,NULL,1
68,"{""ar"": ""تايمز للتطوير"", ""en"": ""Times Developments""}",NULL,https://www.times.com.eg/,https://www.facebook.com/timesdevelopments,NULL,https://www.linkedin.com/company/times-developments,+20 19164,"{""ar"": ""تايمز للتطوير هي مطور عقاري بوتيكي يعمل بنشاط على تشكيل سوق العقارات المصري. تدير الشركة محفظة كبيرة، تغطي ما يقرب من 300,000 متر مربع عبر مشاريعها الثلاثة متعددة الاستخدامات. تم تصميم هذه المشاريع بإبداع وتميز، وتقدم مساحات معيشية حديثة وفريدة من نوعها."", ""en"": ""Times Developments is a boutique real estate developer actively shaping Egypts property market. The company manages a substantial portfolio, encompassing nearly 300,000 square meters across its three mixed-use projects. These developments are designed with creativity and distinction, offering modern and unique living spaces.""}","New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
70,"{""ar"": ""إيونس ديفيلوبمنتس"", ""en"": ""EONS Developments""}",NULL,https://eonsdev.com,NULL,NULL,https://www.linkedin.com/company/eons-developments,NULL,"{""ar"": ""إيونس ديفيلوبمنتس هي مطور عقاري مصري يجمع بين الرؤى المحلية والخبرة السويدية لتقديم مشاريع متكاملة متعددة الاستخدامات والسكنية. تركز الشركة على التصميم المستدام والمراعي للوقت، وتطمح إلى إنشاء مجتمعات دائمة توازن بين الاستخدامات السكنية والتجارية وأنماط الحياة. مشروعها الرائد، لايف وايز في القاهرة الجديدة، يجسد هذا النهج كتطوير متعدد الاستخدامات يدمج المساكن والحديقة التجارية."", ""en"": ""EONS Developments is an Egyptian real estate developer that combines local market insight with Swedish-backed expertise to deliver integrated mixed-use and residential projects. The company emphasises time-conscious, sustainable design and aspires to create enduring communities that balance residential, commercial and lifestyle uses. Its flagship project, Lifewise in New Cairo, exemplifies this approach as a landmark mixed-use development integrating residences and a business park.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,1
71,"{""ar"": ""تي جي ديفيلوبمنتس"", ""en"": ""TG Developments""}",2006,https://tgdevelopments.net,https://www.facebook.com/TGdevelopmentss,https://www.instagram.com/tgdevelopments?igsh=cXlzODBia29oNWFz,https://www.linkedin.com/company/tahoon-group/?viewAsMember=true,2.01E+11,"{""ar"": ""تفتخر تي جي ديفيلوبمنتس بأكثر من عقدين من الخدمة المتفانية، مما رسخ مكانتها كقوة بارزة في قطاع العقارات. تلتزم الشركة بتقديم مشاريع سكنية وتجارية عالية الجودة تلبي الاحتياجات المتغيرة لعملائها. من خلال التصميم المبتكر والتطوير الاستراتيجي، تهدف تي جي ديفيلوبمنتس إلى إنشاء مجتمعات مستدامة ونابضة بالحياة في جميع أنحاء مصر."", ""en"": ""TG Developments boasts over two decades of dedicated service, establishing itself as a prominent force in the real estate industry. The company is committed to delivering high-quality residential and commercial projects that meet the evolving needs of its clients. Through innovative design and strategic development, TG Developments aims to create sustainable and vibrant communities across Egypt.""}","Epic Mall, North 90th, Fifth Settlement, First Floor, New Cairo, Egypt",3,3,1,0,NULL,1/10/2026 12:38,NULL,6
72,"{""ar"": ""كونكريت ديفيلوبمنتس"", ""en"": ""Concrete Developments""}",2018,https://concretedevelop.com/,https://www.facebook.com/concretegy,https://www.instagram.com/concrete.developments,https://www.linkedin.com/company/concreteegy/,2.01E+11,"{""ar"": ""تعد شركة كونكريت ديفيلوبمنتس مطورًا عقاريًا مصريًا يركز على المشروعات السكنية والتجارية والإدارية في نطاق القاهرة الكبرى، مع الاهتمام الخاص بالقاهرة الجديدة والعاصمة الإدارية الجديدة. تشير الشركة إلى أنها أنجزت أو أدارت أكثر من 80 مشروعًا متنوعًا وتولي أهمية لتصميم مجتمعات سكنية ومراكز تجارية متكاملة. تُقدم خطط سداد مرنة وتستهدف مواقع مميزة بالقاهرة لتوفير عروض متكاملة للسكن والتجارة."", ""en"": ""Concrete Developments is an Egyptian real estate developer focused on residential, commercial and administrative projects across Greater Cairo, especially New Cairo and the New Capital. The company states it has completed or managed over 80 mixed-use projects and emphasizes building community-focused compounds and retail destinations. It markets developments with flexible payment plans and targets premium locations across Cairo to deliver integrated residential and commercial offerings.""}","Mivida Business Park - B3 - 102, New Cairo 1, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,80
73,"{""ar"": ""مارجنز ديفلوبمنتس"", ""en"": ""Margins Developments""}",2020,https://marginsdevelopments.com/,https://www.facebook.com/MarginsDev,https://www.instagram.com/margins.developments,https://www.linkedin.com/company/margin-developments/,16930,"{""ar"": ""تعد مارجنز ديفلوبمنتس، التي تعمل تحت اسم مارجنز كوربوريشن للتطوير وإدارة المشاريع، مطورًا عقاريًا واعدًا وتقدميًا تأسس لإعادة تعريف وإنشاء كيانات مؤثرة. تبني الشركة نجاحها على الابتكار والتصاميم الحديثة ومنهجيات السلامة وأنظمة البناء ذات المعايير العالمية. التزامًا بالتميز، تقدم مارجنز مبانٍ مميزة تركز على الصحة أولاً لتعزيز الرفاهية الشخصية والوعي بالتصميم البيئي والشمولية الكاملة، مع دعم الجماليات والديناميكية والصداقة البيئية."", ""en"": ""Margins Developments, operating as Margins Corporation for Development and Project Management, is an upcoming and progressive property developer established to redefine and create impactful entities. The company bases its success on innovation, up-to-date designs, safety approaches, and global standard construction systems. Committed to excellence, Margins delivers signature health first buildings that promote personal wellbeing, environmental design awareness, and complete inclusivity, endorsing aesthetics, dynamism, and eco-friendliness.""}","Building 340, South 90 St., New Cairo, Egypt.",2,1,1,0,NULL,1/10/2026 12:38,NULL,3
75,"{""ar"": ""أجنا ديفلوبمنتس"", ""en"": ""Ajna Developments""}",2019,https://ajnadevelopments.com/,https://www.facebook.com/Ajna-developments-2268567953410018/,https://instagram.com/ajnadevelopments,https://www.linkedin.com/company/ajna-developments/,16995,"{""ar"": ""تأسست أجنة للتطوير العقاري في عام 2019، وهي شركة عقارية مصرية مبنية على رؤية وخبرة مساهميها. تركز الشركة على تطوير الإمكانات الكاملة للعقارات، من الفكرة إلى التسليم، لخلق تجارب ملهمة وقيمة دائمة للمقيمين. تهدف أجنة إلى إعادة تعريف المساحات التقليدية من خلال تطوير مجتمعات مبتكرة ومستدامة في أجمل وجهات مصر، مما يعيد تشكيل مستقبل المعيشة."", ""en"": ""Founded in 2019, Ajna Developments is an Egyptian real estate company built on the vision and expertise of its shareholders. The company focuses on developing the full potential of properties, from concept to delivery, creating inspiring experiences and lasting value for residents. Ajna aims to redefine conventional spaces by curating innovative and sustainable communities in Egypts most beautiful destinations, shaping the future of living.""}","White by The Waterway, 22A N90th st., Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
76,"{""ar"": ""تميز"", ""en"": ""Tamayoz Developments""}",2006,https://tamayozeg.com/,https://www.facebook.com/TamayozDevelopments,https://www.instagram.com/tamayozivoryplaza/,NULL,15568,"{""ar"": ""تعد شركة تميز للتطوير العقاري شركة سعودية مصرية رائدة في مجال التطوير العقاري، تأسست عام 2006 على يد السادة أحمد الشاذلي وعبد الله مصطفى وعبد الحليم حميدة ومحمد الشامي. حققت الشركة تقدمًا مطردًا على مدار 17 عامًا، مستفيدة من الخبرة الواسعة لمؤسسيها في قطاعي الإنشاءات والعقارات. وقد قامت بتطوير العديد من المشاريع السكنية والتجارية الراقية، مساهمة بشكل كبير في السوق العقاري المصري."", ""en"": ""Tamayoz Developments is a leading Saudi Egyptian real estate development company established in 2006 by Mr. Ahmed Elshazly, Abdallah Mostafa, Abdelhalim Hemida, and Mohamed Elshami. The company has achieved steady progress over 17 years, leveraging its founders extensive experience in construction and real estate. They have developed numerous upscale residential and commercial projects, contributing significantly to the Egyptian real estate market.""}","Cpark Mall, South Teseen.Jibouti Square,New Cairo, Egypt",1,3,1,0,NULL,1/10/2026 12:38,NULL,4
77,"{""ar"": ""فانتج ديفلوكمنتس"", ""en"": ""Vantage Developments""}",2019,https://vantage-developments.com,https://www.facebook.com/VantageUrbanDevelopments,https://www.instagram.com/vantagedevelopments/,https://www.linkedin.com/company/vantage-developments,19135,"{""ar"": ""تأسست فانتج ديفلوكمنتس في عام 2019، وسرعان ما أصبحت لاعبًا بارزًا في قطاع العقارات المصري، مستفيدة من خبرة تزيد عن عقد من الزمان. تلتزم الشركة بإنشاء مجتمعات مميزة وتوفير مساحات معيشية عصرية. يرتكز نهجها على التركيز على العملاء، بهدف تقديم مستويات جديدة من البيئات السكنية والتجارية الحديثة."", ""en"": ""Vantage Developments, established in 2019, has rapidly become a prominent player in Egypts real estate sector, leveraging over a decade of prior experience. The company is dedicated to crafting distinctive communities and creating contemporary living spaces. Their approach is customer-focused, aiming to deliver new levels of modern residential and commercial environments.""}","Ground floor, building 233- Part 2 -5th Settlement, New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
79,"{""ar"": ""رويال ديفيلوبمنتس"", ""en"": ""Royal Developments""}",2007,https://royaldev.com,https://www.facebook.com/Royaldevelopments,https://www.instagram.com/royal_developments/,https://www.linkedin.com/company/royal-dev/,2.01E+11,"{""ar"": ""شركة رويال ديفيلوبمنتس هي مطور عقاري مصري تصمم وتسلم مجتمعات سكنية ومختلطة الاستخدام تركز على الإنسان في القاهرة الجديدة، مدينة المستقبل والعاصمة الإدارية الجديدة. تولي الشركة اهتماماً كبيراً بالابتكار في التصميم والاستدامة والتشطيبات الفاخرة تحت قيادة م. شريف شعلان والدكتور كريم شعلان. تتضمن محفظتها العامة مشروعات مثل MONARK Residences وCapital Prime ومشروعات سكنية بالقاهرة الجديدة."", ""en"": ""Royal Developments is an Egyptian real estate developer that designs and delivers human-centric residential and mixed-use communities in New Cairo, Mostakbal City and the New Administrative Capital. The company emphasizes design innovation, sustainability and high-end finishes under leadership including Eng. Sherif Shaalan and Dr. Karim Shaalan. Its public portfolio highlights projects such as MONARK Residences, Capital Prime and New Cairo Residentials.""}","Agora Complex, Suites E-2-4 & E-2-5, 5th Settlement, New Cairo 11865, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
80,"{""ar"": ""أبويد"", ""en"": ""Upwyde""}",NULL,https://upwyde.com/,NULL,NULL,NULL,NULL,"{""ar"": ""أبويد هي شركة تطوير عقاري بارزة ومعروفة بحضورها الهام في بيئة العقارات الديناميكية. تمتلك الشركة محفظة من المشاريع التجارية والسكنية على حد سواء، مما يبرهن على مرونتها وخبرتها في أنواع العقارات المختلفة. من خلال التركيز على إنشاء تطويرات مبتكرة، رسخت أبويد مكانتها كلاعب رئيسي في المنطقة."", ""en"": ""Upwyde is a prominent real estate developer recognized for its significant presence in the dynamic real estate environment. The company boasts a portfolio of both commercial and residential projects, demonstrating its versatility and expertise across various property types. With a focus on creating innovative developments, Upwyde has established itself as a key player in the region.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,8
81,"{""ar"": ""جذور"", ""en"": ""JUZUR""}",NULL,https://juzur-eg.com/,https://www.facebook.com/people/JUZUR/61558708493606/,https://www.instagram.com/juzureg,https://www.linkedin.com/company/juzur/,16611,"{""ar"": ""جذور، التي تعني الأسس في اللغة العربية، هي مطور عقاري ذو رؤية مستقبلية ومقره القاهرة، مصر. تأسست الشركة على مبادئ الروابط الدائمة والقوة، مما يعكس قيمها الأساسية. وهي مدعومة بمزيج من المستثمرين المحليين والدوليين ذوي الرؤى، مما يدفع نهجها المبتكر في قطاع العقارات."", ""en"": ""JUZUR, meaning roots in Arabic, is a forward-thinking real estate developer based in Cairo, Egypt. The company is built on principles of enduring connections and strength, reflecting its core values. It is supported by a blend of visionary local and international investors, driving its innovative approach in the real estate sector.""}","Cairo Business Park, Building A17, Cairo, Egypt",1,1,1,0,NULL,1/10/2026 12:38,NULL,2
82,"{""ar"": ""تاون رايترز"", ""en"": ""Town Writers""}",2017,https://townwriters.com,https://www.facebook.com/townwriters,https://www.instagram.com/townwriters/,https://www.linkedin.com/company/eight-developments/,16889,"{""ar"": ""تاون رايترز، التي تأسست عام 2017 باسم إيت ديفلوبمنتس وأعيد تسميتها في عام 2023، هي مطور عقاري بارز متخصص في المشاريع الراقية في جميع أنحاء مصر. لقد ساهمت الشركة بشكل كبير في المشهد الحضري في مناطق رئيسية مثل القاهرة الجديدة والعاصمة الإدارية الجديدة والشيخ زايد. وتشتهر بمحفظتها المتنوعة التي تشمل التطورات السكنية والتجارية."", ""en"": ""Town Writers, established in 2017 as Eight Developments and rebranded in 2023, is a prominent real estate developer specializing in high-end projects across Egypt. The company has significantly contributed to the urban landscape in key regions such as New Cairo, New Capital, and Sheikh Zayed. They are known for their diverse portfolio, encompassing both residential and commercial developments.""}","Cloudnine Mall, Mohamed Naguib Axis, New Cairo",1,5,1,0,NULL,1/10/2026 12:38,NULL,10
83,"{""ar"": ""أوج ديفيلوبمنتس"", ""en"": ""AWJ Developments""}",2010,https://awjdevelopment.com/,https://www.www.facebook.com/awjdevelopments/,https://www.instagram.com/awjdevelopments,https://www.linkedin.com/company/awj-developments/,17105,"{""ar"": ""تعد شركة أوج ديفيلوبمنتس مطوّرًا عقاريًا مصريًا يركّز على مجتمعات سكنية وتجارية متكاملة، مع حضور رئيسي في القاهرة الجديدة ومدينة بدر والساحل الشمالي. منذ تأسيسها، تضع الشركة التصميم الاحترافي وامتثالها للمعايير الدولية في البناء، بالإضافة إلى حلول تمويل مرنة وخدمات ما بعد البيع المتكاملة في صلب استراتيجيتها. تعرض أوج مشاريع متعددة متعددة الاستخدامات ومراكز تجارية على موقعها الرسمي، وتؤكد التزامها بتسليم قيمة طويلة الأمد من خلال جودة التنفيذ وتركيزها على رضا العملاء."", ""en"": ""AWJ Developments is an Egyptian real estate developer focused on integrated residential and commercial communities, with a primary presence in New Cairo, Badr City and North Coast. Since its inception the company emphasizes professional design, adherence to international construction standards, flexible financing solutions, and comprehensive after-sales support. AWJs public site lists multiple mixed-use and commercial developments, and the company presents itself as delivering long-term value through quality execution and client-centric services.""}","1 Makram Abeed St., City Light Tower, Floor 5-6, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
84,"{""ar"": ""ثراء للتطوير"", ""en"": ""Tharaa Developments""}",2019,https://tharaadevelopments.com/,https://www.facebook.com/Tharaa.Developmentsc/,https://www.instagram.com/tharaadevelopments/,NULL,17128,"{""ar"": ""تأسست شركة ثراء للتطوير العقاري في عام 2019، وهي شركة استثمار وتطوير عقاري برأس مال كبير يبلغ مليار جنيه مصري. تتمثل المهمة الأساسية للشركة في إنشاء مجتمعات سكنية سياحية فاخرة تجسد الراحة والأناقة. تلتزم الشركة بتطوير مساحات مصممة بدقة في كل تفاصيلها لإلهام الحياة."", ""en"": ""Tharaa Developments, established in 2019, is a real estate investment and development company with a substantial capital of 1 billion Egyptian pounds. The companys core mission is to craft luxurious tourist residential communities that embody comfort and elegance. They are dedicated to developing spaces where every detail is meticulously designed to inspire life.""}","Cairo Business Park, Office K25-34B, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
85,"{""ar"": ""واجهة للتطوير العقاري"", ""en"": ""Wajha Developments""}",1991,https://www.wajhadevelopments.com,NULL,https://www.instagram.com/wajhadevelopments,https://www.linkedin.com/company/wajha-developments,NULL,"{""ar"": ""واجهة للتطوير العقاري هي مطور عقاري ذو رؤية مستقبلية، متجذر في 35 عامًا من التميز في الهندسة والمقاولات. تتمتع الشركة بسجل حافل، حيث تطورت من شركة مقاولات تأسست عام 1991، مع 14 مشروعًا سكنيًا ناجحًا في القاهرة الجديدة. وهي الآن لاعب متنوع، تتوسع في العاصمة الإدارية الجديدة وقطاع السياحة باستثمارات في المنتجعات، وهي شريك امتياز لـ Golds Gym."", ""en"": ""Wajha Developments is a forward-thinking real estate developer rooted in 35 years of engineering and contracting excellence. The company has a proven track record, evolving from a contracting firm established in 1991, with 14 successful residential projects in New Cairo. They are now a diversified player, expanding into the New Administrative Capital and tourism sector with investments in resorts, and are franchise partners of Golds Gym.""}","EASTOWN DISTRICT NEW CAIRO (EDNC) SODIC, 07-00-04 / BUILDING 7 GROUND FLOOR - OFFICE 4 17543",14,0,1,0,NULL,1/10/2026 12:38,NULL,14
86,"{""ar"": ""كالتشر للتطوير العقاري"", ""en"": ""Kulture Developments""}",NULL,https://www.kulture-eg.com,https://www.facebook.com/kulturedevelopments/,NULL,https://www.linkedin.com/company/kulture-developments,19211,"{""ar"": ""تستند شركة كالتشر للتطوير العقاري إلى إرث غني من النجاحات المستمدة من مشاريع سابقة، مجسدةً بذلك مزيجًا من التقاليد والابتكار. تعمل الشركة تحت شعار نصنع طريقنا الخاص، وتتخصص في تقديم مشاريع راقية وفنية تعيد تعريف مفهوم الحياة العصرية. يمتد التزامهم إلى ما هو أبعد من مجرد إنشاء المساحات، حيث يركزون على بناء قيمة دائمة وثقافة مميزة لساكنيها."", ""en"": ""Kulture Developments leverages a rich legacy of success from previous ventures, embodying a fusion of tradition and innovation. Operating under the slogan Making our Own Way, the company specializes in delivering upscale, artful projects that redefine contemporary living. Their commitment extends beyond creating spaces, focusing instead on establishing lasting value and a distinct culture for their residents.""}","EDNC Sodic B2 - Office 8, Sixth Settlement",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
87,"{""ar"": ""ماس للتطويرات"", ""en"": ""Mass Developments""}",NULL,https://www.mass-developments.com/,https://www.facebook.com/profile.php?id=61562795859341,https://www.instagram.com/massdevelopmentseg/?hl=en,NULL,19221,"{""ar"": ""تعتبر ماس للتطويرات شركة رائدة في مجال الابتكار العقاري بمصر، وتكرس جهودها لتحويل المساحات وتحسين جودة الحياة المجتمعية. يقود الشركة عاطف منى، الذي يتمتع بخبرة تزيد عن عقدين في سوق العقارات. تلتزم الشركة بتقديم مشاريع عالية الجودة بأسعار معقولة، مما يضمن رضا قاعدة واسعة من العملاء."", ""en"": ""Mass Developments is a leading real estate innovator in Egypt, dedicated to transforming spaces and enhancing community living. The company is spearheaded by Atef Monay, who brings over two decades of expertise to the real estate market. They are committed to delivering high-quality projects at accessible prices, ensuring broad client satisfaction.""}",NULL,0,1,1,0,NULL,1/10/2026 12:38,NULL,6
